"term","count"
"you want",1
"you wanted",1
"a cobweb",1
"drank a",1
"feel like",1
"i feel",1
"i just",1
"just drank",1
"like i",1
"are wearing",1
"at the",1
"conference is",1
"critique what",1
"easy i'll",1
"i'll just",1
"is too",1
"just critique",1
"librarian while",1
"more fun",1
"much more",1
"people are",1
"playing spot",1
"spot the",1
"the conference",1
"the librarian",1
"too easy",1
"wearing much",1
"what people",1
"while at",1
"birthday festivities",1
"colada to",1
"start the",1
"the birthday",1
"to start",1
"a great",1
"ala a",1
"all who",1
"and to",1
"came to",1
"conference looking",1
"forward to",1
"great conference",1
"helped make",1
"looking forward",1
"make ala",1
"new orleans",1
"our programs",1
"programs and",1
"thanks to",1
"those who",1
"to all",1
"to new",1
"to our",1
"to those",1
"who came",1
"who helped",1
"a member",1
"a piecemeal",1
"a total",1
"accept the",1
"ag ramesh",1
"altogether they",1
"and that",1
"another former",1
"approval of",1
"as the",1
"as well",1
"away with",1
"because she",1
"because the",1
"british government",2
"but a",1
"by the",1
"cabinet he",1
"civil jurisdiction",1
"council as",1
"council was",2
"country wanted",1
"court for",1
"criminal jurisdiction",1
"decide whether",1
"do away",1
"do get",1
"do that",1
"final court",1
"for the",1
"former ag",1
"get rid",1
"get the",1
"government because",1
"government had",1
"had to",1
"happy to",1
"has weighed",1
"he recalled",1
"he said",2
"he went",2
"if the",1
"in as",1
"in support",1
"in the",1
"in to",1
"issue revealing",1
"jurisdiction altogether",1
"jurisdiction if",1
"jurisdiction we",1
"keep the",1
"known by",1
"lawrence maharaj",1
"london in",2
"maharaj has",1
"member of",1
"minister because",1
"not in",1
"not prepared",2
"of a",1
"of the",3
"on the",1
"phased proposal",1
"piecemeal split",1
"prepared to",2
"present prime",1
"prime minister",1
"privy council",3
"proposal and",1
"quite happy",1
"ramesh lawrence",1
"recalled that",1
"revealing that",1
"rid of",1
"said the",1
"she was",1
"split but",1
"split he",1
"support of",1
"that he",1
"that they",1
"that was",1
"that when",2
"the approval",1
"the british",2
"the cabinet",1
"the civil",1
"the country",1
"the criminal",1
"the final",1
"the issue",1
"the jurisdiction",1
"the phased",1
"the present",1
"the privy",3
"they were",2
"they would",1
"to accept",1
"to decide",1
"to do",3
"to get",1
"to london",2
"told that",1
"total split",1
"wanted to",1
"was a",1
"was known",1
"was not",1
"was quite",1
"we were",1
"weighed in",1
"well on",1
"went to",2
"were not",2
"were told",1
"when he",2
"whether they",1
"with the",1
"would keep",1
"b the",1
"but no",1
"damn i",1
"dnt lik",1
"girl tht",1
"him but",1
"i do",1
"i said",1
"i wud",1
"lik him",1
"no i",1
"only girl",1
"said i",1
"the only",1
"tht dnt",1
"wud b",1
"an architect",1
"architect i'd",1
"i'd said",1
"a friend",1
"a generous",1
"a love",1
"amount of",1
"and if",1
"automatically start",1
"be exceptionally",1
"be it",1
"exceptionally special",1
"friend i",1
"generous amount",1
"glorious greenery",1
"happens to",1
"i automatically",1
"i like",1
"i meet",1
"i place",1
"i try",1
"if that",1
"in my",1
"in other",1
"in that",1
"interest or",1
"into glorious",1
"investment in",1
"it a",1
"just a",1
"like be",1
"little seeds",1
"love interest",1
"meet someone",1
"my opinion",1
"nourish those",1
"of investment",1
"opinion i",1
"or just",1
"other words",1
"person and",1
"person happens",1
"place a",1
"seeds in",1
"seeds into",1
"someone i",1
"sowing little",1
"special in",1
"start sowing",1
"that person",2
"those seeds",1
"to be",1
"to nourish",1
"try to",1
"when i",1
"words i",1
"damn i'm",1
"from this",1
"i'm tired",1
"this benefit",1
"tired from",1
"a player",1
"a shot",1
"admit when",1
"at a",1
"can take",1
"doing it",1
"its okay",1
"just admit",1
"okay just",1
"player its",1
"shot at",1
"take a",1
"when you're",1
"you can",1
"you're doing",1
"chill i",1
"hang with",1
"i need",1
"is pretty",1
"kid more",1
"need to",1
"pretty chill",1
"that kid",1
"to hang",1
"with that",1
"abandoned community",1
"an abandoned",1
"are onion",1
"awesome so",1
"basement of",1
"college is",1
"community college",1
"dudes in",1
"in the",1
"is just",1
"just awesome",1
"of an",1
"onion rings",1
"playing russian",1
"roulette with",1
"russian roulette",1
"so are",1
"some vietnamese",1
"the basement",1
"vietnamese dudes",1
"with some",1
"a physical",1
"accurate yet",1
"actually get",1
"and gays",1
"and works",1
"as these",1
"benefits conferred",1
"better of",1
"blacks and",1
"blacks reside",1
"bottom floor",1
"comes to",1
"conception is",1
"conception of",1
"conferred this",1
"course as",1
"crime stats",1
"diversity tower",1
"don't actually",1
"figuratively speaking",1
"floor and",1
"gays often",1
"gays tussle",1
"get the",1
"in the",1
"is pretty",1
"it comes",1
"its way",1
"many the",1
"of a",1
"of course",1
"of many",1
"often win",1
"on the",1
"physical confrontation",1
"pretty accurate",1
"reside when",1
"show they",1
"speaking of",1
"special benefits",1
"starts with",1
"stats show",1
"story where",1
"the better",1
"the bottom",1
"the conception",1
"the diversity",1
"the top",1
"these crime",1
"they don't",1
"this conception",1
"to special",1
"to the",1
"top story",1
"tower starts",1
"tussle gays",1
"way to",1
"when blacks",1
"when it",1
"where blacks",1
"white women",1
"win figuratively",1
"with white",1
"women on",1
"works its",1
"yet when",1
"at pevan",1
"do you",1
"had no",1
"hell do",1
"me here",1
"no right",1
"notia rallied",1
"pevan you",1
"playing at",1
"quickly though",1
"rallied too",1
"right to",1
"strand me",1
"the hell",1
"think you're",1
"though what",1
"to strand",1
"too quickly",1
"what the",1
"you had",1
"you think",1
"you're playing",1
"a good",1
"a monday",1
"don't have",1
"for a",1
"get it",2
"going mike",1
"good one",1
"have to",2
"is a",1
"it going",1
"it right",1
"just have",1
"monday you",1
"one for",1
"right you",1
"this is",1
"to get",2
"you don't",1
"you just",1
"a way",1
"about someone",1
"and so",1
"common expression",1
"expression so",1
"gets my",1
"goat we",1
"has a",1
"have probably",1
"heard the",1
"it when",1
"my goat",1
"of provoking",1
"probably heard",1
"provoking us",1
"really gets",1
"so and",1
"so really",1
"someone who",1
"talk about",1
"the common",1
"use it",1
"way of",1
"we talk",1
"we use",1
"when we",1
"who has",1
"you have",1
"a pretty",1
"and don't",1
"and walls",1
"any bath",1
"are strong",1
"as this",1
"average speed",1
"bath oils",1
"bathtime playtime",1
"be heard",1
"but quiet",1
"clothes but",1
"could deteriorate",1
"deteriorate the",1
"don't use",1
"doors and",1
"enough to",2
"except for",1
"fact that",1
"fast faster",1
"faster fastest",1
"fastest some",1
"for the",1
"heard through",1
"if water",1
"into just",1
"is a",1
"is properly",1
"is quite",1
"is what",1
"it's waterproof",1
"just make",1
"magical no",1
"make bathtime",1
"make sure",1
"no the",1
"not be",1
"of speed",1
"oils as",1
"other variation",1
"playtime if",1
"plug is",1
"plugged and",1
"pretty average",1
"pretty straightforward",1
"properly plugged",1
"quiet enough",1
"quite spectacular",1
"settings fast",1
"silicone plug",1
"some other",1
"spectacular the",1
"speed except",1
"speed settings",1
"sports is",1
"straightforward vibe",1
"strong enough",1
"sure the",1
"that it's",1
"the fact",1
"the is",2
"the magical",1
"the silicone",2
"the vibrations",1
"this could",1
"through clothes",1
"through doors",1
"to not",1
"to work",1
"use any",1
"variation of",1
"vibe with",1
"vibrations are",1
"walls the",1
"water sports",1
"waterproof will",1
"well through",1
"what you're",1
"will make",1
"with pretty",1
"work well",1
"you're into",1
"behind on",1
"center office",1
"day planned",1
"heading to",1
"office soon",1
"on tweets",1
"packed day",1
"planned behind",1
"portland center",1
"soon packed",1
"to portland",1
"be fine",1
"don't leave",1
"exist hi",1
"fine don't",1
"guys hi",1
"hey there",1
"hi i",1
"hi there",1
"i still",1
"i'll be",1
"just move",1
"leave me",1
"move on",1
"no i'll",1
"no no",1
"okay just",1
"on no",1
"still exist",1
"there guys",1
"there yeah",1
"yeah okay",1
"are there",1
"can assist",1
"different ways",1
"that we",1
"there different",1
"ways that",1
"we can",1
"a great",1
"are right",1
"for the",1
"great clip",1
"info that",1
"right thanks",1
"thanks for",1
"that was",1
"the info",1
"was a",1
"you are",1
"a limited",1
"a part",1
"about that",1
"and events",1
"and i",1
"and launching",1
"and priorities",1
"and projects",1
"auctions and",1
"back to",1
"basis i'm",1
"business changes",1
"business will",1
"but still",1
"changed but",1
"changes and",1
"community auctions",1
"completely left",1
"disappointed about",1
"dust while",1
"enjoying getting",1
"events and",1
"ever get",1
"feel completely",1
"get back",1
"getting to",1
"have changed",1
"heading my",1
"i feel",1
"i see",1
"i'm enjoying",1
"i'm not",1
"in community",1
"in the",1
"is a",1
"is disappointed",1
"it was",2
"launching new",1
"left in",1
"level that",1
"limited basis",1
"local photographers",1
"me that",1
"my business",1
"my plans",1
"new business",1
"not sure",1
"of me",1
"on a",1
"or that",1
"other local",1
"part of",1
"participating in",1
"photographers participating",1
"photos on",1
"plans and",1
"priorities have",1
"projects and",1
"see other",1
"still there",1
"sure that",1
"take photos",1
"that is",1
"that it",2
"that my",1
"the dust",1
"the level",1
"there is",1
"to take",1
"to the",1
"was heading",1
"was or",1
"while i'm",1
"will ever",1
"am pleased",1
"gotten otter",1
"i am",1
"i've gotten",1
"is the",1
"otter photos",1
"photos i",1
"since this",1
"the third",1
"third time",1
"this is",1
"time i've",1
"a bit",1
"and i",1
"bit of",1
"blue sky",1
"have a",1
"i manage",1
"manage to",1
"of blue",1
"pictures will",1
"post that",1
"sky and",1
"snap some",1
"some pictures",1
"that later",1
"to snap",1
"today we",1
"we have",1
"will post",1
"for the",1
"thanks for",1
"the follow",1
"about being",1
"anthem rt",1
"be better",1
"being better",1
"better than",2
"care about",1
"don't care",1
"i don't",1
"i'm trying",1
"my anthem",1
"rt i",1
"than me",1
"than you",1
"thats my",1
"to be",1
"trying to",1
"you i'm",1
"includes the",1
"information includes",1
"new information",1
"the following",1
"and gone",1
"dead and",1
"always love",1
"are the",1
"bear what",1
"huggy bear",1
"i will",1
"love huggy",1
"members up",1
"the members",1
"to now",1
"up to",1
"what are",1
"will always",1
"anniversary to",1
"at cfa",1
"being at",1
"for being",1
"happy year",1
"rt happy",1
"to for",1
"year anniversary",1
"are you",1
"circle is",1
"delete google",1
"enormous time",1
"heck are",1
"is enormous",1
"my who",1
"the heck",1
"time to",1
"to delete",1
"who the",1
"you circle",1
"catching up",1
"i'm catching",1
"on your",1
"posts enchanting",1
"studio posts",1
"up on",1
"your studio",1
"be in",1
"fun though",1
"have fun",1
"i'll be",1
"in ny",1
"naw i'll",1
"ny workin",1
"workin have",1
"a confederate",1
"an elected",1
"and was",1
"army unit",1
"as an",1
"being organized",1
"berrien minutemen",2
"but on",1
"by his",1
"civil war",1
"claimed exemption",1
"company k",1
"confederate army",1
"could have",1
"district as",1
"during the",1
"elected justice",1
"elected nd",1
"elected official",1
"enlisted in",1
"exemption from",1
"father levi",1
"from military",1
"ga infantry",1
"georgia militia",1
"have claimed",1
"he could",1
"his father",1
"in company",1
"in january",1
"in the",3
"infantry in",1
"j knight",1
"january william",1
"justice of",1
"k the",1
"knight enlisted",1
"knight was",1
"knight william",1
"levi j",1
"military service",1
"militia district",1
"minutemen a",1
"minutemen and",1
"nd sergeant",1
"october knight",1
"of the",1
"official he",1
"on october",1
"organized by",1
"peace in",1
"served in",1
"service during",1
"th ga",1
"th georgia",1
"the berrien",2
"the civil",1
"the peace",1
"the th",2
"then being",1
"unit then",1
"war but",1
"was elected",2
"washington knight",1
"william served",1
"william washington",1
"a card",1
"and colors",1
"are standard",1
"back on",1
"basic greys",1
"bg yumminess",1
"bold patterns",1
"card i",1
"check back",1
"colors are",1
"design team",1
"for the",1
"full design",1
"greys pb",1
"here is",1
"i made",1
"is a",1
"is basic",1
"j line",1
"kit check",1
"kit is",1
"line the",1
"little red",1
"made with",1
"month's little",1
"on the",1
"patterns and",1
"pb j",1
"red scrapbook",1
"scrapbook kit",1
"standard bg",1
"team reveal",1
"th for",1
"the bold",1
"the full",1
"the kit",1
"the th",1
"this month's",1
"with the",1
"yumminess here",1
"at the",1
"howling at",1
"la howling",1
"la la",5
"la sha",1
"moon ramones",1
"sha la",2
"the moon",1
"be for",1
"else would",1
"for if",1
"for the",1
"have hopefully",1
"hopefully not",1
"humans be",1
"if it",1
"it were",1
"not for",1
"not with",1
"relationships we",1
"the relationships",1
"we have",1
"we humans",1
"were not",1
"what else",1
"with materials",1
"would we",1
"and beer",1
"beer you",1
"forgot beer",1
"you forgot",1
"american government",1
"american people",1
"as important",1
"as the",2
"but in",1
"but that's",1
"credibility of",1
"damage done",1
"does real",1
"done to",1
"government is",1
"government the",1
"hidden law",1
"hurts the",1
"important as",1
"in representative",1
"is the",1
"it as",1
"it hurts",1
"itself it",1
"law trick",1
"legislative process",1
"nearly as",1
"not nearly",1
"of it",1
"of the",2
"offending party",1
"old hidden",1
"or secrecy",1
"parliamentary trickery",1
"party too",1
"principle that",1
"process itself",1
"real violence",1
"representative government",1
"reputation of",1
"resort to",1
"secrecy think",1
"that the",1
"that's not",1
"the american",2
"the credibility",1
"the damage",1
"the legislative",1
"the offending",1
"the old",1
"the principle",1
"the reputation",1
"the resort",1
"think of",1
"to parliamentary",1
"to the",2
"too but",1
"trick does",1
"trickery or",1
"violence to",1
"aggregate rt",1
"agreed i'm",1
"calling on",1
"get very",1
"going to",1
"i'm calling",1
"is going",1
"on aggregate",1
"rt this",1
"this is",1
"to get",1
"very messi",1
"an ultimate",1
"any more",1
"is not",1
"kennedy made",1
"made an",1
"mary kennedy",1
"more poor",1
"not silent",1
"poor soul",1
"she is",1
"silent any",1
"statement she",1
"ultimate statement",1
"get dressed",1
"let me",1
"me get",1
"because we",1
"is it",1
"it because",1
"checkered cloth",1
"are you",1
"canada are",1
"from the",1
"i'm from",1
"in canada",1
"the us",1
"us where",1
"where in",1
"you from",1
"no problem",1
"changes due",1
"coaching changes",1
"due to",1
"has to",1
"make coaching",1
"q has",1
"special teams",1
"to make",1
"to special",1
"a confessional",1
"and of",1
"and sweet",1
"bless god",1
"blessing in",1
"but the",1
"by living",1
"closet god",1
"closet if",2
"closet is",1
"closet there",1
"closet we",2
"communication and",1
"communion of",1
"confessional simply",1
"do god's",1
"ear in",1
"except by",1
"for god",1
"god except",1
"god in",1
"god must",1
"god out",1
"god the",1
"god with",1
"god's blessing",1
"god's ear",1
"god's presence",1
"god's will",1
"have god's",3
"have have",1
"have us",1
"high and",1
"holy communion",1
"hour of",1
"if we",4
"in our",1
"in the",4
"intense intercession",1
"is no",1
"is not",1
"live for",1
"lives if",2
"living to",1
"meet god",1
"must bless",1
"must do",1
"must have",1
"must live",1
"no way",1
"not a",1
"of high",1
"of holy",1
"of intense",1
"of praying",1
"of the",2
"our lives",1
"out of",2
"prayer closet",7
"praying lives",1
"praying to",1
"presence in",1
"simply but",1
"sweet communication",1
"the hour",1
"the prayer",7
"there is",1
"to god",2
"to have",3
"to meet",1
"us out",1
"want to",4
"way of",1
"we must",3
"we want",4
"will in",1
"with praying",1
"cotton eye",1
"eye joe",1
"out to",1
"shout out",1
"to cotton",1
"do you",1
"how do",1
"make coffee",1
"you make",1
"daya tweeted",1
"follow back",1
"ma daya",1
"me plz",1
"plz follow",1
"plz tweet",1
"tweet ma",1
"tweeted me",1
"chicago it",1
"early lol",1
"eyes heavy",1
"go to",1
"heavy let's",1
"it it's",1
"it's still",1
"let's go",1
"still early",1
"to chicago",1
"i still",1
"love you",1
"ok sweetie",1
"shh that's",1
"still love",1
"sweetie i",1
"that's ok",1
"was it",1
"who was",1
"you who",1
"addressed one",1
"before he",1
"being the",1
"bridges project",1
"clarksville before",1
"clarksville town",1
"conceded his",1
"council president",1
"for the",1
"from being",1
"he addressed",1
"him from",1
"his take",1
"in the",1
"indiana members",1
"john conceded",1
"keep him",1
"likely keep",1
"members on",1
"most popular",1
"ohio river",1
"on the",1
"on tolls",1
"one southern",1
"person in",1
"popular person",1
"president john",1
"project would",1
"river bridges",1
"southern indiana",1
"take on",1
"the most",1
"the ohio",1
"the room",1
"the topic",1
"tolls for",1
"topic clarksville",1
"town council",1
"would likely",1
"a little",1
"bit of",1
"front of",1
"game reminds",1
"gentleman on",1
"jeff goldblum",1
"little bit",1
"me a",1
"of jeff",1
"of the",1
"on the",1
"reminds me",1
"the front",1
"the game",1
"the gentleman",1
"a fan",1
"as we",1
"fan of",1
"head to",1
"hours as",1
"i'm such",1
"lunch hours",1
"mid s",1
"of this",1
"over the",1
"s over",1
"skies this",1
"such a",1
"sunny skies",1
"the lunch",1
"this afternoon",1
"this mid",1
"to with",1
"we head",1
"with sunny",1
"a great",1
"appreciation for",1
"for the",1
"have a",1
"much appreciation",1
"the have",1
"action and",1
"and there",1
"are several",1
"is the",1
"of action",1
"several interpretations",1
"the yoga",1
"there are",1
"this is",1
"yoga of",1
"are those",1
"happiest people",1
"have the",1
"in this",1
"interesting thoughts",1
"lyon phelps",1
"most interesting",1
"people in",1
"the happiest",1
"the most",1
"this world",1
"those who",1
"thoughts william",1
"who have",1
"william lyon",1
"world are",1
"a look",1
"above shareology",1
"at the",2
"at you",1
"bloomington minnesota",1
"breakfast in",1
"can see",1
"from the",1
"in bloomington",1
"latest social",1
"let's take",1
"look at",1
"media breakfast",1
"minnesota let's",1
"see from",1
"shareology was",1
"social media",1
"take a",1
"the above",1
"the latest",1
"the visual",1
"visual record",1
"was at",1
"well at",1
"you can",1
"access television",1
"archive project",1
"at somerville",1
"be interning",1
"community access",1
"excited to",1
"i will",1
"in january",1
"interning at",1
"january i",1
"on their",1
"so excited",1
"somerville community",1
"starting in",1
"television so",1
"their video",1
"to work",1
"video archive",1
"will be",1
"work on",1
"a lot",1
"also bought",1
"although wonderfully",1
"and figured",1
"and quirky",1
"and to",1
"anymore i",1
"as it",1
"be so",1
"blades i",1
"bought some",1
"but it",1
"concentrate on",1
"could concentrate",1
"couldn't shave",1
"curve but",1
"definitely had",1
"did some",1
"do it",2
"drawbacks not",1
"end feather",1
"fashioned way",1
"feather razor",1
"figured out",1
"fogged as",1
"found that",1
"front of",1
"had its",1
"had to",1
"high end",1
"how to",1
"i also",1
"i could",1
"i couldn't",1
"i did",1
"i had",1
"i quickly",1
"in front",1
"in the",2
"it i",1
"it in",1
"it may",1
"it right",1
"it took",1
"its drawbacks",1
"knicks in",1
"learning curve",1
"longer to",1
"lot longer",1
"many knicks",1
"may be",1
"mirror fogged",1
"my technique",1
"not too",1
"of the",1
"old fashioned",1
"on my",1
"online and",1
"out how",1
"quickly found",1
"quirky definitely",1
"razor blades",1
"reading online",1
"right i",1
"romantic and",1
"shave and",1
"shave in",1
"shower anymore",1
"so i",1
"some high",1
"some reading",1
"that the",1
"the learning",1
"the mirror",1
"the old",1
"the shower",1
"to do",2
"to shave",1
"to use",1
"too many",1
"took a",1
"use it",1
"way although",1
"wonderfully romantic",1
"back next",1
"be back",1
"busy bee",1
"for you",1
"know what",1
"let me",1
"me know",1
"next week",1
"night works",1
"on tuesday",1
"tuesday let",1
"we will",1
"week on",1
"what night",1
"will be",1
"works for",1
"you busy",1
"a better",1
"adult alarm",1
"adult vervet",3
"alarm calls",6
"although compared",1
"and juveniles",1
"and non",1
"and stick",1
"and types",1
"are less",1
"are more",2
"as martial",1
"as they",1
"as vervet",1
"association between",1
"attention to",1
"attribute eagle",1
"attribute most",1
"below we",1
"better association",1
"between predator",1
"birds with",2
"calls although",1
"calls and",1
"calls flying",1
"calls however",1
"calls in",1
"calls infants",1
"calls than",1
"calls to",2
"calls vervet",1
"can infer",1
"compared to",1
"different species",1
"discriminating as",1
"discriminatory when",1
"eagle alarm",2
"eagle calls",1
"eagles as",1
"elicit eagle",1
"eliciting alarm",1
"figures with",1
"flying birds",1
"generally pay",1
"get older",1
"have a",1
"however are",1
"illustration below",1
"in spite",1
"infants and",1
"infants juveniles",1
"infer that",1
"juveniles are",1
"juveniles calls",1
"juveniles or",1
"leopard calls",1
"less discriminating",1
"like figures",1
"making alarm",1
"mammals with",1
"martial eagles",1
"monkeys are",1
"monkeys attribute",1
"monkeys generally",1
"monkeys get",1
"monkeys seem",1
"more attention",1
"more discriminatory",1
"more when",1
"most terrestrial",1
"non raptors",1
"of alarm",1
"of juveniles",1
"of raptors",1
"of that",1
"older they",1
"or infants",1
"pay more",1
"predator species",1
"raptors and",1
"raptors see",1
"same silhouette",1
"see illustration",1
